gene	JK215	JK217	JK218	JK219	JK228	JK229	JK230	JK231
Jph1	102	117	40	58	59	47	71	84
Gdap1	7	3	2	4	2	6	3	2
Pi15	1119	1587	503	595	1260	1192	985	881
Crispld1	92	143	62	73	51	55	58	75
Crisp4	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0
Gm15386	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0
Tfap2b	1	0	0	0	0	0	0	0
Pkhd1	44	53	22	44	23	8	49	25
4930486I03Rik	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0
Il17a	0	0	0	2	0	4	4	0
Il17f	1	1	0	1	2	1	25	6
Mcm3	1240	700	298	550	1325	2090	1184	844
6720483E21Rik	6	7	4	12	5	1	8	6
Paqr8	1677	1285	611	1909	688	486	1012	950
Efhc1	695	994	218	421	311	213	802	382
Tram2	244	140	88	178	122	248	149	121
Tmem14a	221	253	87	225	102	57	160	148
Gsta3	8560	10425	4327	7781	5063	2378	7868	8827
Gm4956	2888	3635	2267	2782	2077	898	3107	3478
Khdc1a	3	3	3	2	12	15	11	4
Khdc1c	2	0	3	0	0	0	0	0
Khdc1b	2	2	0	0	2	1	7	1
Kcnq5	680	362	240	252	334	272	469	523
Rims1	7	6	3	7	1	3	4	7
4933415F23Rik	0	0	0	0	0	0	0	1
Mir30a	0	0	1	0	0	0	1	0
Mir30c-2	1	1	1	0	1	0	3	2
Ogfrl1	1219	1046	556	827	2018	1950	2338	1405
B3gat2	1	3	0	3	0	0	2	1
Smap1	2774	2496	997	2202	2598	2252	2680	2210
1110058L19Rik	308	609	200	373	267	168	291	208
Fam135a	1780	1776	948	1218	985	854	1206	1212
Col9a1	0	0	0	0	1	14	7	0
Col19a1	13	33	1	13	2	2	7	8
Lmbrd1	4332	3962	1641	3015	3037	2429	3646	3205
Bai3	0	0	0	1	0	0	1	0
Gm20172	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0
Phf3	4995	4896	2422	3939	3511	3458	4924	4131
Ptp4a1	636	932	288	494	839	474	947	662
Gm13363	0	0	0	0	0	0	0	0
4931428L18Rik	4	13	4	4	6	1	8	3
Lgsn	30	32	2	3	1	0	1	0
Pih1d3	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0
Khdrbs2	0	1	2	0	0	0	0	0
Gm9839	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0	0	0
Prim2	272	323	114	332	423	521	381	289
1700001G17Rik	11	10	5	9	9	6	11	12
Rab23	1136	1307	497	780	724	717	1030	803
Bag2	368	568	162	283	214	231	389	233
Zfp451	904	1045	506	806	765	692	930	756
Gm15455	0	0	0	1	0	0	0	1
Bend6	134	104	39	91	24	49	55	42
Dst	15935	17517	8037	9201	6761	7402	9753	11864
Mir5103	0	3	2	1	0	1	0	0
Ccdc115	681	1027	395	776	1324	984	1131	817
Imp4	1054	1218	487	852	966	1154	1169	749
Ptpn18	896	1369	582	1055	1041	1012	1286	696
Prss39	0	0	0	0	4	9	6	1
Cfc1	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0
Amer3	0	0	1	2	0	1	0	0
AA619741	0	0	0	0	0	0	0	0
Arhgef4	123	207	39	89	85	82	137	84
Fam168b	7648	6403	3524	5539	5555	5590	7037	5766
Plekhb2	4074	4968	2085	4841	3711	3278	5405	4095
Hs6st1	1955	1776	616	1508	1965	1980	2356	1464
Uggt1	4261	3720	1600	3421	3482	4064	5338	3173
Neurl3	2156	998	537	1358	2731	2865	2669	831
Arid5a	1919	1283	600	861	3510	4134	2378	1157
Kansl3	3685	3664	1725	2462	3124	3016	3835	3071
Lman2l	914	1048	404	955	526	493	881	586
Cnnm4	476	450	183	357	443	487	612	325
Cnnm3	1334	1261	587	1026	762	633	1179	910
Ankrd23	246	331	168	243	178	187	295	170
Ankrd39	322	360	159	235	239	253	259	225
Sema4c	2303	2301	1012	1076	2745	2501	2096	1934
Fam178b	146	198	92	131	41	14	50	67
Cox5b	2287	3571	1365	2298	3161	3000	3282	2005
Actr1b	3438	3290	1415	2652	2167	2225	3034	2430
4933424G06Rik	2	2	0	1	3	3	1	0
Zap70	291	261	137	159	420	785	333	283
Tmem131	3698	3309	1497	2717	3891	4909	5079	3339
Cnga3	0	0	0	1	4	0	3	0
Inpp4a	1552	2038	805	1327	892	998	1648	1114
Coa5	3448	3199	1676	2739	3616	4075	4585	2836
Unc50	1802	2385	1009	1733	1610	1165	1772	1460
Mgat4a	940	1175	387	609	1269	1702	1677	960
4930594C11Rik	5	8	5	8	24	14	20	8
2010300C02Rik	1482	2138	497	1314	706	562	1730	966
Tsga10	513	606	197	391	217	194	431	302
Lipt1	99	114	31	104	73	51	100	88
Mitd1	686	897	373	714	1972	1806	1312	837
Mrpl30	1024	1625	630	1081	1506	1457	1344	856
Lyg2	0	0	0	0	3	0	0	0
Lyg1	0	0	0	0	0	0	0	0
Txndc9	2411	3042	1199	2473	2734	2479	2783	2064
Eif5b	5093	4498	2191	4128	6242	5532	6120	5006
Rev1	944	1153	510	757	783	794	908	830
Aff3	1887	1359	947	801	1528	968	1633	2046
Lonrf2	16	25	13	5	5	4	8	4
Chst10	38	36	20	26	48	64	13	26
Nms	0	0	0	0	0	0	0	0
Pdcl3	3052	3100	1211	2925	2373	1864	2227	2134
Npas2	821	573	164	928	288	246	514	666
Rpl31	7781	15234	6197	9076	7550	6802	8325	5998
Tbc1d8	2241	4539	1702	1989	2012	1506	2917	3617
Cnot11	1162	1236	482	940	1269	1133	1377	1086
Snord89	4	13	13	7	19	30	22	11
Rnf149	1468	1537	718	1466	3733	4695	3637	1332
Creg2	31	42	8	17	97	119	118	26
Rfx8	11	8	9	4	16	4	3	12
Gm3646	0	1	1	2	3	0	1	0
1700066B17Rik	0	0	0	0	0	0	0	0
Map4k4	9439	7427	4531	6055	6252	5582	6208	5711
Gm16894	1	1	2	0	6	2	3	2
Il1r2	277	192	147	49	667	707	1058	231
Il1r1	2910	3205	1167	3085	2410	2370	2462	1642
Il1rl2	303	426	127	193	202	356	331	174
Il1rl1	199	296	110	192	171	214	174	182
Il18r1	7855	9136	3355	9397	5825	4138	7071	5696
Il18rap	281	175	125	143	507	910	1083	227
Slc9a4	224	317	123	296	167	137	211	120
Slc9a2	110	209	44	98	65	93	82	60
Mfsd9	251	268	61	156	131	142	220	180
Tmem182	0	3	10	1	1	12	27	2
4930448I06Rik	0	0	0	0	0	0	0	0
2610017I09Rik	1	3	0	0	2	0	3	1
Pou3f3	8	26	4	2	3	1	14	4
2900092D14Rik	2	2	0	0	1	0	2	0
Mrps9	1109	1266	560	1343	1087	981	992	944
Gpr45	0	3	0	0	0	1	3	0
Tgfbrap1	3157	2618	1371	2251	2286	1956	2677	2477
AI597479	1317	1561	861	1194	757	616	1008	964
Fhl2	96	220	94	45	204	327	333	69
Nck2	1891	1392	626	962	1356	1079	1277	1074
1500015O10Rik	17	28	7	12	14	10	27	5
Uxs1	711	747	343	753	662	722	750	569
Tpp2	2366	2152	945	1839	2421	2753	2906	1890
Mettl21c	1	1	0	1	2	2	1	0
Tex30	322	573	205	247	292	322	278	222
Kdelc1	956	1134	436	886	704	562	877	651
Bivm	689	983	342	724	470	422	634	501
Ercc5	1779	2159	977	1173	1258	953	1339	1420
Mettl21e	118	261	98	24	238	87	238	294
Gulp1	1413	1485	792	1110	1037	660	930	1021
4930521E06Rik	0	0	0	0	0	0	1	0
Col3a1	21378	14854	4787	13292	43957	52275	34433	15010
Col5a2	4923	3524	1460	3201	6835	9415	6077	3554
Wdr75	1226	1299	593	1274	1208	1305	1144	883
Slc40a1	908	413	391	489	477	313	836	607
Gm4776	0	0	0	0	0	0	2	0
Dnahc7b	357	719	143	213	131	153	386	210
Slc39a10	1826	1580	781	1253	1302	1111	1807	1452
Tmeff2	761	861	343	431	339	113	261	454
9330175M20Rik	10	6	1	5	0	1	4	5
Sdpr	33651	32765	15696	24859	20365	8114	27856	27821
Nabp1	986	1319	497	1517	1413	1599	1843	847
Myo1b	14494	12096	5525	12262	8027	4460	9434	10466
Stat4	465	198	135	214	633	961	340	326
Stat1	5181	4295	1881	4128	30626	32298	31835	23088
Gls	4340	5007	1964	3590	3108	3237	3476	2986
Nab1	4720	5389	2525	4237	4215	4692	4527	3596
Tmem194b	479	435	249	487	355	408	337	349
Mfsd6	4203	4305	1610	3319	2022	1463	3030	2696
Inpp1	517	543	235	443	766	915	622	510
Hibch	795	1117	401	810	469	370	604	530
1700019D03Rik	21	34	5	15	5	15	7	10
Mstn	1	24	3	0	0	0	0	0
1700019A02Rik	0	4	0	0	0	0	0	0
Pms1	189	175	74	148	188	209	150	113
Ormdl1	610	1092	450	856	590	582	725	434
Osgepl1	353	528	216	396	298	227	331	315
Asnsd1	1246	1382	649	1111	1090	1148	1542	1010
Dnahc7a	302	475	78	178	87	76	238	194
Stk17b	4218	2977	1503	2945	3651	3858	3256	1928
Hecw2	2953	4324	1895	1627	1989	1588	4196	4449
Ccdc150	105	353	69	93	48	16	108	76
Gtf3c3	585	561	241	505	470	559	593	409
Pgap1	563	411	246	401	315	418	437	345
Ankrd44	6936	5048	2841	3672	3016	3027	4442	3893
Sf3b1	15796	15302	7384	11040	13189	12565	13601	11649
Coq10b	2204	2371	908	1730	2075	1652	1851	1282
Hspd1	4252	4032	1730	3418	3975	4657	4601	2810
Hspe1	823	1915	768	1355	1054	883	1083	610
Mob4	2722	3471	1535	2464	2186	1791	2296	1835
Rftn2	1474	1193	670	970	796	473	825	1020
Mars2	280	268	126	253	207	248	227	205
Boll	0	1	0	1	4	1	3	3
Plcl1	955	735	427	681	498	363	631	658
9130227L01Rik	0	0	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0	0	0
Satb2	67	66	33	36	21	49	61	56
9130024F11Rik	3	3	0	0	4	0	0	3
BC055402	0	0	0	0	1	0	0	0
4930558J18Rik	2	0	0	1	1	10	5	2
1700066M21Rik	331	472	203	313	267	226	370	224
Tyw5	411	546	243	440	470	374	419	294
9430016H08Rik	537	635	259	478	561	566	614	414
Spats2l	1053	729	328	617	1473	1461	1280	705
Kctd18	506	528	330	371	519	478	560	504
Sgol2	102	94	42	96	222	402	277	169
Aox1	2926	3126	1175	2742	944	734	1450	1620
Aox3	9580	5948	2877	7854	1491	812	4501	5954
Aox4	2	4	1	2	1	7	2	2
Aox3l1	1	3	0	1	1	0	0	0
Bzw1	6973	7435	3325	6036	6712	7400	7413	5143
Clk1	9434	13146	6318	8275	5753	3916	6044	6169
Ppil3	549	765	305	594	558	488	550	382
Nif3l1	572	641	234	576	578	574	614	427
Orc2	1124	1167	604	1041	1037	1129	1007	874
Fam126b	1838	2400	1101	1763	1164	903	1609	1644
Ndufb3	1515	2439	966	1674	1476	814	1418	1221
Gm20257	180	252	149	185	366	230	265	263
Als2cr12	17	29	12	2	7	6	30	18
Cflar	8668	7928	4807	6476	9699	9616	9779	7797
Casp8	2198	1725	830	1895	3628	3875	2831	1561
Trak2	5974	6298	4152	5171	4747	4192	5954	5599
Stradb	628	684	262	644	371	344	655	450
Als2cr11	0	0	0	0	0	1	2	0
Tmem237	786	848	305	530	530	422	630	461
Mpp4	22	14	24	13	9	9	21	13
Als2	1000	789	407	631	784	1019	1030	700
Cdk15	4	3	0	0	6	0	3	2
Fzd7	2195	1538	857	1717	1295	1089	1588	1570
Gm973	473	784	102	295	121	105	439	291
Sumo1	2271	3546	1606	2572	2320	1835	2338	1983
Nop58	1514	1395	620	1233	2173	2779	1764	1088
Snord70	2	2	0	0	0	0	2	0
Snord11	0	1	1	0	0	0	0	0
Bmpr2	7402	4792	4307	3674	2618	3539	5359	5146
Fam117b	4902	4726	1895	2355	2668	2210	3647	4166
Ica1l	36	55	10	20	25	31	57	35
Wdr12	376	478	214	351	420	556	560	289
Carf	165	231	125	159	109	104	172	116
Nbeal1	3216	3597	1922	2973	1139	1092	2253	1988
Cyp20a1	1120	1130	506	916	763	756	935	729
Abi2	1321	1143	530	835	757	809	1029	995
Raph1	5172	5202	2786	3714	3179	2697	4621	3994
Cd28	364	219	194	178	637	1111	102	346
Ctla4	62	45	59	35	779	1278	8	70
Icos	134	103	62	90	725	1594	108	161
9530026F06Rik	4	0	0	0	0	0	0	0
Pard3b	1748	1485	829	1428	947	784	1285	1311
Nrp2	4814	1952	1218	2869	2691	4154	3515	2681
4930487H11Rik	0	0	0	0	0	0	0	0
Ino80d	3434	3708	1725	2688	2094	2365	2760	2313
Gm11602	121	143	78	114	59	41	66	72
Ndufs1	2632	2526	1115	2242	2240	2066	2708	2033
Eef1b2	8359	12426	5359	9192	8617	7549	9019	6578
Snora41	30	30	23	27	17	22	14	12
Gpr1	1	3	0	0	2	3	0	5
Zdbf2	77	67	42	50	45	40	39	48
Adam23	253	477	145	185	268	219	270	164
Dytn	20	34	2	11	0	0	11	5
Mdh1b	204	439	69	172	73	44	232	120
Fastkd2	495	811	308	486	406	397	405	335
4933402D24Rik	0	0	0	0	0	0	0	0
Gm13749	18	12	15	19	18	32	9	20
Mir1958	0	0	0	0	0	0	0	0
Klf7	729	662	479	300	377	591	643	577
Creb1	4216	3789	1955	2973	2677	2390	3149	2875
Mettl21a	423	499	218	378	354	272	375	286
2810408I11Rik	4	6	3	1	28	47	22	0
Ccnyl1	778	709	353	524	578	528	684	522
Fzd5	1489	1041	540	1494	1438	1055	1643	1390
Plekhm3	1749	1290	552	1199	1071	1138	1532	1087
Akr1cl	3	6	1	2	4	4	4	2
Cryge	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0
Cryga	0	0	0	0	0	0	0	0
D630023F18Rik	0	4	1	0	3	0	3	2
Idh1	3677	4861	1287	3310	2602	1659	3664	2562
Pikfyve	1814	1793	892	1298	1398	1617	1725	1421
Pth2r	2	2	1	0	1	4	0	1
Crygf	0	0	0	0	0	0	0	0
Map2	1829	1318	559	2502	353	461	777	712
Unc80	13	100	37	12	64	3	64	36
Rpe	1391	1908	831	1489	1457	1218	1572	1016
Kansl1l	1515	2009	801	1157	1101	712	1276	1026
Acadl	3643	6117	1630	3019	8052	3608	6056	5078
Myl1	24	90	18	0	7	3	27	3
Lancl1	1142	1669	608	1035	900	692	1079	969
Cps1	0	0	59	0	0	0	23	1
Erbb4	17	16	5	4	0	7	12	5
Ikzf2	372	483	156	330	256	350	283	207
Spag16	1228	2197	348	718	395	367	1081	686
Vwc2l	0	1	0	0	0	0	0	0
Bard1	78	68	35	47	210	293	141	104
Abca12	2	6	1	0	0	2	2	0
Atic	1410	1090	436	998	1293	1530	1334	958
Fn1	20300	9621	6152	7541	31019	41429	24900	19298
Apol7d	7	3	0	5	2	0	1	0
Gm8883	0	0	0	0	0	0	0	0
4933417E11Rik	5	10	3	8	1	0	1	5
Mreg	183	216	57	303	300	282	196	148
Pecr	136	182	72	121	127	150	134	120
Tmem169	0	10	1	3	8	11	4	3
Xrcc5	907	911	298	833	728	565	880	608
March4	432	664	122	268	228	190	568	200
Smarcal1	1404	1555	582	1242	966	943	1326	1045
Ankar	0	0	0	0	1	0	0	0
Rpl37a	8644	15055	6380	9277	7286	6234	8705	6300
Igfbp2	8317	18873	3889	15077	6706	2007	6809	6898
Igfbp5	23641	15195	7621	16272	17065	15835	10227	12681
Tnp1	0	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0	0
Pinc	2	0	1	0	1	1	3	2
D530049I02Rik	0	0	0	0	0	0	0	0
6030407O03Rik	7	7	7	19	17	14	15	13
Tns1	60144	57666	32444	44585	52535	34469	65797	81858
Rufy4	78	85	27	114	61	24	106	64
Cxcr2	1355	436	520	352	848	389	2531	737
Cxcr1	32	29	19	94	57	10	113	33
Arpc2	11457	10818	4500	9233	16677	18157	16516	10109
Gpbar1	0	0	0	0	0	1	0	0
Aamp	4682	4638	1927	3637	3849	2977	4837	3402
Pnkd	1480	1549	664	971	701	348	1061	1002
Tmbim1	8184	7578	3066	6093	6045	4381	7563	6108
Gm216	593	1146	257	442	209	129	460	447
Slc11a1	502	369	169	250	1827	3655	2751	472
Ctdsp1	6203	4952	2318	4171	4846	3690	5763	4955
Mir26b	0	0	0	0	3	0	0	2
Vil1	35	29	16	36	38	24	28	43
Usp37	1268	1007	484	711	888	991	958	822
Rqcd1	1273	1163	442	885	1426	1674	1428	1100
Plcd4	34	57	24	83	7	6	9	16
Zfp142	1098	1120	529	865	748	1006	965	774
Bcs1l	358	393	219	422	225	234	342	257
Rnf25	1317	1584	682	1087	1274	1088	1284	938
Stk36	727	1222	317	667	347	265	670	489
Ttll4	878	1355	562	811	557	808	949	709
Cyp27a1	1233	1089	529	774	638	368	1069	799
Prkag3	318	779	202	1109	245	104	285	432
Wnt6	6	10	4	2	7	15	21	2
Wnt10a	0	4	0	4	3	27	25	2
Cdk5r2	5	1	1	4	6	0	3	0
Fev	0	0	0	1	0	1	0	0
Cryba2	1	3	0	0	0	0	1	0
Mir375	0	0	0	0	0	0	0	1
Ccdc108	3143	6812	1624	2455	744	796	2648	1851
Ihh	38	42	17	20	19	9	18	31
Nhej1	92	135	54	96	64	72	104	73
Slc23a3	51	62	27	44	71	65	54	38
Cnppd1	2650	2549	1106	2103	2610	2506	3249	2314
Fam134a	3275	3074	1301	2354	2266	1884	3218	2270
Zfand2b	745	1096	423	757	587	503	684	516
Abcb6	694	908	254	520	341	337	555	375
Atg9a	2358	2045	956	1583	1781	1505	2394	1815
Ankzf1	922	1324	573	945	548	448	745	769
Glb1l	669	756	264	515	502	422	653	465
Stk16	1721	2567	1057	1748	1297	1120	1732	1333
Tuba4a	1508	1853	658	1550	1396	1701	1822	1190
A630095N17Rik	0	0	0	0	3	0	2	0
Dnajb2	2923	3384	1275	2711	1771	1138	2474	2042
Ptprn	138	214	61	161	136	219	171	100
Resp18	78	127	26	71	23	43	31	27
Dnpep	1371	1818	658	1367	1532	1490	1942	1341
Des	7157	10663	2972	3793	4589	4891	6945	5748
Gm15179	0	0	0	0	0	0	0	0
Speg	494	899	300	371	413	428	519	303
Gmppa	1533	1815	639	1432	1381	1474	1739	1136
Asic4	4	0	1	3	3	0	0	0
Chpf	2207	1568	610	1354	1306	1645	1943	1300
Tmem198	110	141	50	131	66	64	134	83
Obsl1	449	416	222	262	281	471	472	262
Inha	84	146	46	75	63	58	105	58
Stk11ip	1220	1555	639	1052	1026	896	1247	835
Slc4a3	657	1049	402	653	313	297	478	445
Gm17751	0	0	0	0	0	0	0	0
Epha4	1019	595	351	778	653	531	1012	490
Pax3	0	0	0	0	3	0	0	0
Sgpp2	1460	1705	798	2191	903	614	1543	1503
Farsb	1300	1216	442	998	1340	1436	1363	1041
Mogat1	5	42	1	2	1	2	8	5
Acsl3	1486	1878	561	1079	855	603	1345	1012
Utp14b	188	241	82	130	102	101	144	123
Kcne4	651	741	218	642	659	501	514	390
Scg2	77	86	43	54	40	92	56	47
Ap1s3	541	620	236	599	524	502	533	392
Wdfy1	1302	1945	856	1155	1236	1351	1427	1166
Mrpl44	743	879	336	635	708	604	802	627
Serpine2	5197	3962	1664	3464	4613	4137	4977	4016
Fam124b	276	229	166	192	68	27	145	149
Cul3	5736	4927	2257	4106	4484	4363	5211	4330
1700016L21Rik	0	0	0	0	0	0	0	0
Dock10	2360	1852	1018	1692	2651	4291	3700	1847
Nyap2	0	1	0	0	0	0	0	0
Irs1	1473	1193	626	1039	505	227	644	740
Rhbdd1	1716	1331	540	1148	1405	1172	1461	1172
Col4a4	6171	6252	2806	6854	3509	1623	5304	5361
Col4a3	13480	9345	4546	10606	7434	2458	9861	11691
Mff	3249	4680	2034	3418	2556	2220	3276	2376
Tm4sf20	2	2	1	0	1	1	0	0
Agfg1	3519	3235	1458	2302	3776	3808	4050	3240
Slc19a3	373	256	143	268	166	98	249	345
Ccl20	8	49	8	44	383	243	285	38
Wdr69	214	473	96	185	49	42	157	127
Sphkap	59	113	25	24	22	15	60	28
Pid1	2061	1976	854	1707	1537	1736	1792	1559
Dner	52	65	10	23	11	9	33	43
Mir5126	0	0	0	0	0	0	0	0
Trip12	8942	7457	3848	6392	8792	10822	10107	7661
Fbxo36	438	798	162	312	219	190	514	306
Slc16a14	3	9	1	2	5	8	8	6
A530032D15Rik	24	14	14	16	115	182	109	17
Gm7609	12	2	9	9	30	80	29	15
C130026I21Rik	59	64	29	36	105	135	58	17
Sp110	1437	1215	605	1133	5989	6492	4207	2191
Sp140	841	641	363	649	3128	3967	2709	1240
Sp100	3838	2620	1602	3124	11991	12688	9348	6516
A630001G21Rik	260	271	123	260	496	649	424	199
Cab39	9551	9140	3820	7099	7889	6411	9384	7921
Itm2c	7334	5955	2532	5401	6370	6361	7263	4850
4933407L21Rik	3	7	1	0	2	2	3	0
Gpr55	38	31	10	19	91	248	56	24
Spata3	1	0	0	0	0	0	0	0
2810459M11Rik	29	45	21	56	5	4	26	29
Psmd1	4968	4860	1996	4101	5142	5034	5338	3830
Htr2b	74	122	30	72	106	111	48	64
Armc9	431	495	172	351	225	200	402	280
B3gnt7	231	278	73	378	381	268	435	205
Ncl	13241	10105	4720	9383	16859	19588	15385	11948
Snora75	18	20	12	13	29	15	16	21
Snord82	0	0	0	0	0	3	0	0
C130036L24Rik	10	14	6	16	10	10	8	12
Nmur1	19	17	10	7	5	2	6	12
1700019O17Rik	9	15	3	5	2	2	2	3
Ptma	15282	15044	6771	11935	14638	13190	14757	11195
Pde6d	918	1246	391	853	850	722	991	728
Cops7b	675	816	326	600	479	544	639	435
Nppc	1	4	0	7	1	3	4	3
Dis3l2	849	657	287	511	691	701	895	647
Alppl2	2	0	0	2	2	2	1	2
Alpi	4	0	0	0	0	0	0	0
Akp3	0	0	0	0	0	0	0	0
Ecel1	0	4	0	1	0	5	0	0
Prss56	0	1	0	0	0	0	0	0
Chrnd	0	0	1	0	0	1	0	0
Chrng	0	0	0	0	0	0	0	0
Eif4e2	2278	2689	1116	2101	2312	2553	2718	1902
Efhd1	65	121	16	45	30	43	41	42
Gigyf2	2405	2453	1157	1908	1756	2060	2523	2059
Kcnj13	499	594	168	675	217	89	421	317
3110079O15Rik	0	0	0	0	0	1	0	0
Ngef	415	563	181	354	240	195	435	397
Neu2	29	44	17	36	26	11	37	17
Inpp5d	2336	2206	1216	1190	3710	5281	4885	3312
Atg16l1	1767	1916	784	1287	1378	1316	1665	1156
Scarna6	1	2	1	2	0	4	3	1
Sag	20	36	23	17	21	13	11	18
Dgkd	3529	3463	1708	2462	2834	2692	4152	3412
Usp40	1084	1337	612	1137	879	939	1302	956
Ugt1a10	0	0	0	0	0	0	1	0
Ugt1a9	0	3	0	1	0	0	0	0
Ugt1a7c	80	71	31	70	210	296	289	118
Ugt1a6b	226	133	30	77	25	34	72	26
Ugt1a6a	545	546	188	467	169	160	489	400
Ugt1a5	3	7	9	5	1	3	2	0
Ugt1a2	6	20	0	6	1	0	2	0
Dnajb3	26	34	10	27	33	29	30	27
Ugt1a1	7	18	0	12	1	6	9	4
Mroh2a	15	30	12	26	9	2	12	14
Hjurp	334	367	203	276	267	233	281	194
6430706D22Rik	0	0	0	0	0	0	0	0
A730008H23Rik	0	0	0	0	0	0	0	0
Trpm8	3	7	4	4	0	0	0	1
Spp2	0	0	0	0	0	0	0	0
Glrp1	0	4	0	5	22	44	24	5
Gm19589	1	0	0	0	9	11	6	0
Arl4c	3114	3475	1099	3142	3073	2569	3410	2112
2410088K16Rik	0	0	1	0	0	0	0	0
1700067G17Rik	1	0	0	2	1	0	0	0
Sh3bp4	2823	2006	729	2127	1290	1048	1605	1620
C030007H22Rik	2	0	0	0	0	0	0	0
Agap1	3913	2905	1624	2175	2519	1694	2997	3055
4933400F21Rik	0	0	0	0	0	0	0	0
Gbx2	0	2	0	6	3	9	5	3
Asb18	0	0	0	0	0	2	0	0
Iqca	756	1054	161	503	121	114	508	348
Cxcr7	2763	2137	936	1665	4586	4559	2836	3182
Cops8	2244	2202	926	1536	1943	1914	2184	1600
Col6a3	8567	5759	2790	4055	4229	7568	5480	3709
Mlph	1326	1796	526	1311	834	796	1540	1112
Prlh	1	3	1	1	6	1	7	0
Rab17	123	143	39	171	17	18	16	22
Lrrfip1	7158	7371	2680	7422	5479	5736	6953	4643
Rbm44	0	2	0	1	14	11	3	7
Ramp1	672	1936	517	1300	478	246	881	667
Ube2f	1464	1795	706	1300	1791	1760	1865	1218
Scly	818	842	328	704	1143	1103	1280	916
Espnl	14	22	9	28	21	22	53	14
Klhl30	34	43	12	42	23	16	61	16
Fam132b	21	18	6	11	20	50	36	22
